"Timestamp","What is the address of the property ? ","What is the price per Month","What is the link to the Property"
"2024/07/31 8:54:56 PM GMT+3","747 Geary Street, 747 Geary St, Oakland, CA 94609","$2,895","https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/"
"2024/07/31 8:55:00 PM GMT+3","Parkmerced | 3711 19th Ave, San Francisco, CA","$2,810","https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/"
"2024/07/31 8:55:04 PM GMT+3","845 Sutter, 845 Sutter St APT 509, San Francisco, CA","$2,450","https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/"
"2024/07/31 8:55:08 PM GMT+3","100 Van Ness, 100 Van Ness Ave #410, San Francisco, CA 94102","$2,940","https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/"
"2024/07/31 8:55:12 PM GMT+3","828 Franklin, 828 Franklin St #606, San Francisco, CA 94102","$2,395","https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/"
"2024/07/31 8:55:16 PM GMT+3","923 Folsom, 923 Folsom St APT 506, San Francisco, CA 94107","$2,816","https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/"
"2024/07/31 8:55:20 PM GMT+3","Hanover Soma West, 1140 Harrison St #138, San Francisco, CA 94103","$2,974","https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/"
"2024/07/31 8:55:24 PM GMT+3","Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704","https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/"
"2024/07/31 8:55:28 PM GMT+3","NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810","https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/"
"2024/07/31 8:55:32 PM GMT+3","The Landing | 1395 22nd St, San Francisco, CA","$2,798","https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/"
"2024/07/31 8:55:36 PM GMT+3","1350 Washington Street | 1350 Washington St, San Francisco, CA","$2,195","https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/"
"2024/07/31 8:55:39 PM GMT+3","2775 Market St, 2775 Market St APT 102, San Francisco, CA 94114","$2,995","https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/"
"2024/07/31 8:55:43 PM GMT+3","Mt. Sutro, 480 Warren Dr #312, San Francisco, CA 94131","$2,895","https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/"
"2024/07/31 8:55:47 PM GMT+3","Konrad on the Park, 971 Eddy St #212, San Francisco, CA 94109","$2,805","https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/"
"2024/07/31 8:55:50 PM GMT+3","1188 Mission at Trinity Place | 1188 Mission St, San Francisco, CA","$1914 1","https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/"
"2024/07/31 8:55:54 PM GMT+3","Nob Hill Place, 1155 Jones St APT 208, San Francisco, CA 94109","$2,950","https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/"
"2024/07/31 8:55:58 PM GMT+3","Avalon Sunset Towers, 8 Locksley Ave, San Francisco, CA 94131","$2,917","https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/"
"2024/07/31 8:56:01 PM GMT+3","125-135 Gardenside, 125 Gardenside Dr, San Francisco, CA 94114","$2,595","https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/"
"2024/07/31 8:56:05 PM GMT+3","Freedom West, 820 McAllister St, San Francisco, CA 94102","$2,000","https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/"
"2024/07/31 8:56:08 PM GMT+3","Franklin St, 24 Franklin St #805, San Francisco, CA 94102","$2,824","https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/"
"2024/07/31 8:56:11 PM GMT+3","Loft 168, 168 Bluxome St, San Francisco, CA 94107","$2,800","https://www.zillow.com/apartments/san-francisco-ca/1350-washington-street/9NKDS7/"
"2024/07/31 8:56:15 PM GMT+3","Mosser Towers Apartments, 455 Eddy St APT E1102, San Francisco, CA 94102","$2,450","https://www.zillow.com/apartments/san-francisco-ca/1350-washington-street/9NKDS7/"
"2024/07/31 8:56:18 PM GMT+3","1029 Geary St., 1029 Geary St, San Francisco, CA 94109","$2,095","https://www.zillow.com/apartments/san-francisco-ca/2775-market-st/5XsQ4D/"
"2024/07/31 8:56:22 PM GMT+3","33 8th at Trinity Place | 33 8th St, San Francisco, CA","$2,298","https://www.zillow.com/apartments/san-francisco-ca/2775-market-st/5XsQ4D/"
"2024/07/31 8:56:26 PM GMT+3","SoMa Square | 1 Saint Francis Pl, San Francisco, CA","$2,809 1","https://www.zillow.com/apartments/san-francisco-ca/mt.-sutro/5XjVRC/"
"2024/07/31 8:56:29 PM GMT+3","480 Potrero Ave, 480 Potrero Ave #610, San Francisco, CA 94110","$2,495","https://www.zillow.com/apartments/san-francisco-ca/mt.-sutro/5XjVRC/"
"2024/07/31 8:56:32 PM GMT+3","The Mission | 240 Dolores St, San Francisco, CA","$2,494 1","https://www.zillow.com/apartments/san-francisco-ca/konrad-on-the-park/9NKJXS/"
"2024/07/31 8:56:36 PM GMT+3","L Seven | 1222 Harrison St, San Francisco, CA","$2,775 1","https://www.zillow.com/apartments/san-francisco-ca/konrad-on-the-park/9NKJXS/"
"2024/07/31 8:56:40 PM GMT+3","Palace Court Apartments | 555 Ofarrell St, San Francisco, CA","$1,745 1","https://www.zillow.com/apartments/san-francisco-ca/1188-mission-at-trinity-place/5XjN4q/"
"2024/07/31 8:56:43 PM GMT+3","2000 Post | 2000 Post St, San Francisco, CA","$2,764 1","https://www.zillow.com/apartments/san-francisco-ca/1188-mission-at-trinity-place/5XjN4q/"
"2024/07/31 8:56:47 PM GMT+3","HQ | 1532 Harrison St, San Francisco, CA","$2,799 1","https://www.zillow.com/apartments/san-francisco-ca/nob-hill-place/5XkKgw/"
"2024/07/31 8:56:50 PM GMT+3","AVA 55 Ninth | 55 9th St, San Francisco, CA","$2,525 1","https://www.zillow.com/apartments/san-francisco-ca/nob-hill-place/5XkKgw/"
"2024/07/31 8:56:54 PM GMT+3","The Bay | 2133 Stockton St, San Francisco, CA","$2,199 1","https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/"
"2024/07/31 8:56:58 PM GMT+3","Lofts at Seven | 277 Golden Gate Ave, San Francisco, CA","$1,995 1","https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/"
"2024/07/31 8:57:01 PM GMT+3","347 Eddy St. | 347 Eddy St, San Francisco, CA","$1,895 1","https://www.zillow.com/apartments/san-francisco-ca/125.dash.135-gardenside/BjFbbM/"
"2024/07/31 8:57:04 PM GMT+3","Solaire | 299 Fremont St, San Francisco, CA","$2,898 1","https://www.zillow.com/apartments/san-francisco-ca/125.dash.135-gardenside/BjFbbM/"
"2024/07/31 8:57:08 PM GMT+3","Marina Cove Apartments, 1550 Bay St APT B225, San Francisco, CA 94123","$2,999","https://www.zillow.com/apartments/san-francisco-ca/freedom-west/5mmHmr/"
"2024/07/31 8:57:11 PM GMT+3","Avalon Dogpatch, 800 Indiana St, San Francisco, CA 94107","$2,830","https://www.zillow.com/apartments/san-francisco-ca/freedom-west/5mmHmr/"
"2024/07/31 8:57:15 PM GMT+3","The Gateway, 430 Davis Ct #3-0306, San Francisco, CA 94111","$2,895","https://www.zillow.com/apartments/san-francisco-ca/franklin-st/9NJqFL/"
"2024/07/31 8:57:19 PM GMT+3","50 Laguna, 50 Laguna St APT 604, San Francisco, CA 94102","$2,775","https://www.zillow.com/apartments/san-francisco-ca/franklin-st/9NJqFL/"
"2024/07/31 8:57:22 PM GMT+3","The Fillmore Center, 1475 Fillmore St #S30305, San Francisco, CA 94115","$2,998","https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/"
"2024/07/31 8:57:26 PM GMT+3","1333 Gough Apartments at Cathedral Hall, 1333 Gough St APT 1G, San Francisco, CA 94109","$2,895","https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/"
"2024/07/31 8:57:30 PM GMT+3","1177 Market at Trinity Place | 1177 Market St, San Francisco, CA","$2,773 1","https://www.zillow.com/apartments/san-francisco-ca/mosser-towers-apartments/9NJr4f/"
"2024/07/31 8:57:34 PM GMT+3","300 Buchanan, 300 Buchanan St #202, San Francisco, CA 94102","$2,975","https://www.zillow.com/apartments/san-francisco-ca/mosser-towers-apartments/9NJr4f/"